Time: 12:01:33.062794| SENSOR   | Yaw value received: -120.2
Time: 12:01:33.065815| SYSTEM   | Changed compass orientation
Time: 12:01:33.439798| DEBUG    | func: 9| mode: 1| size: 12| data: update (35s)
Time: 12:01:33.469540| LOG      | [INFO]: received: update (35s)
Time: 12:01:33.541071| DEBUG    | func: 6| mode: 1| size: 4| data: -119.8
Time: 12:01:33.570386| SENSOR   | Yaw value received: -119.8
Time: 12:01:33.574334| SYSTEM   | Changed compass orientation
Time: 12:01:33.947677| DEBUG    | func: 9| mode: 1| size: 12| data: update (36s)
Time: 12:01:33.977310| LOG      | [INFO]: received: update (36s)
Time: 12:01:34.049117| DEBUG    | func: 6| mode: 1| size: 4| data: -119.8
Time: 12:01:34.078324| SENSOR   | Yaw value received: -119.8
Time: 12:01:34.080964| SYSTEM   | Changed compass orientation
Time: 12:01:34.463533| DEBUG    | func: 9| mode: 1| size: 12| data: update (37s)
Time: 12:01:34.483536| LOG      | [INFO]: received: update (37s)
Time: 12:01:34.565174| DEBUG    | func: 6| mode: 1| size: 4| data: -117.5
Time: 12:01:34.584186| SENSOR   | Yaw value received: -117.5
Time: 12:01:34.586674| SYSTEM   | Changed compass orientation
Time: 12:01:35.072500| DEBUG    | func: 9| mode: 1| size: 12| data: update (37s)
Time: 12:01:35.090721| LOG      | [INFO]: received: update (37s)
Time: 12:01:35.175907| DEBUG    | func: 6| mode: 1| size: 4| data: -117.5
Time: 12:01:35.191514| SENSOR   | Yaw value received: -117.5
Time: 12:01:35.193560| SYSTEM   | Changed compass orientation
Time: 12:01:35.582201| DEBUG    | func: 9| mode: 1| size: 12| data: update (38s)
Time: 12:01:35.597156| LOG      | [INFO]: received: update (38s)
Time: 12:01:35.685429| DEBUG    | func: 6| mode: 1| size: 4| data: -116.6
Time: 12:01:35.697657| SENSOR   | Yaw value received: -116.6
Time: 12:01:35.700652| SYSTEM   | Changed compass orientation
Time: 12:01:36.092811| DEBUG    | func: 9| mode: 1| size: 12| data: update (38s)
Time: 12:01:36.103310| LOG      | [INFO]: received: update (38s)
Time: 12:01:36.196082| DEBUG    | func: 6| mode: 1| size: 4| data: -116.6
Time: 12:01:36.204179| SENSOR   | Yaw value received: -116.6
Time: 12:01:36.207200| SYSTEM   | Changed compass orientation
Time: 12:01:36.602178| DEBUG    | func: 9| mode: 1| size: 12| data: update (39s)
Time: 12:01:36.609789| LOG      | [INFO]: received: update (39s)
Time: 12:01:36.705819| DEBUG    | func: 6| mode: 1| size: 4| data: -116.8
Time: 12:01:36.710668| SENSOR   | Yaw value received: -116.8
Time: 12:01:36.713701| SYSTEM   | Changed compass orientation
Time: 12:01:37.112391| DEBUG    | func: 9| mode: 1| size: 12| data: update (39s)
Time: 12:01:37.115672| LOG      | [INFO]: received: update (39s)
Time: 12:01:37.215145| DEBUG    | func: 6| mode: 1| size: 4| data: -116.8
Time: 12:01:37.217195| SENSOR   | Yaw value received: -116.8
Time: 12:01:37.220216| SYSTEM   | Changed compass orientation
Time: 12:01:37.620822| DEBUG    | func: 9| mode: 1| size: 12| data: update (40s)
Time: 12:01:37.623882| LOG      | [INFO]: received: update (40s)
Time: 12:01:37.723093| DEBUG    | func: 6| mode: 1| size: 4| data: -117.0
Time: 12:01:37.725118| SENSOR   | Yaw value received: -117.0
Time: 12:01:37.727112| SYSTEM   | Changed compass orientation
Time: 12:01:38.130262| DEBUG    | func: 9| mode: 1| size: 12| data: update (40s)
Time: 12:01:38.131260| LOG      | [INFO]: received: update (40s)
Time: 12:01:38.232498| DEBUG    | func: 6| mode: 1| size: 4| data: -117.0
Time: 12:01:38.333520| SENSOR   | Yaw value received: -117.0
Time: 12:01:38.335535| SYSTEM   | Changed compass orientation
Time: 12:01:38.640922| DEBUG    | func: 9| mode: 1| size: 12| data: update (41s)
Time: 12:01:38.739143| LOG      | [INFO]: received: update (41s)
Time: 12:01:38.744814| DEBUG    | func: 6| mode: 1| size: 4| data: -117.0
Time: 12:01:38.840151| SENSOR   | Yaw value received: -117.0
Time: 12:01:38.842149| SYSTEM   | Changed compass orientation
Time: 12:01:39.149759| DEBUG    | func: 9| mode: 1| size: 12| data: update (41s)
Time: 12:01:39.245205| LOG      | [INFO]: received: update (41s)
Time: 12:01:39.252783| DEBUG    | func: 6| mode: 1| size: 4| data: -117.0
Time: 12:01:39.345726| SENSOR   | Yaw value received: -117.0
Time: 12:01:39.347751| SYSTEM   | Changed compass orientation
Time: 12:01:39.666217| DEBUG    | func: 9| mode: 1| size: 12| data: update (42s)
Time: 12:01:39.750868| LOG      | [INFO]: received: update (42s)
